Time_abs/ps, Signal/nA
  1021.850,     5.809681
  1021.900,     5.807323
  1021.950,     5.798898
  1022.000,     5.782084
  1022.050,     5.760423
  1022.100,     5.731311
  1022.150,     5.700201
  1022.200,     5.665828
  1022.250,     5.626657
  1022.300,     5.587422
  1022.350,     5.547185
  1022.400,     5.508835
  1022.450,     5.471356
  1022.500,     5.433498
  1022.550,     5.400541
  1022.600,     5.365758
  1022.650,     5.330985
  1022.700,     5.293452
  1022.750,     5.258743
  1022.800,     5.221284
  1022.850,     5.185505
  1022.900,     5.144826
  1022.950,     5.105221
  1023.000,     5.065940
  1023.050,     5.027928
  1023.100,     4.987180
  1023.150,     4.952683
  1023.200,     4.920522
  1023.250,     4.888890
  1023.300,     4.860644
  1023.350,     4.827447
  1023.400,     4.798109
  1023.450,     4.776653
  1023.500,     4.749923
  1023.550,     4.725652
  1023.600,     4.699716
  1023.650,     4.681521
  1023.700,     4.657801
  1023.750,     4.632551
  1023.800,     4.607999
  1023.850,     4.584900
  1023.900,     4.559475
  1023.950,     4.532972
  1024.000,     4.501740
  1024.050,     4.471565
  1024.100,     4.441847
  1024.150,     4.411850
  1024.200,     4.382458
  1024.250,     4.355271
  1024.300,     4.330440
  1024.350,     4.308880
  1024.400,     4.287842
  1024.450,     4.274464
  1024.500,     4.261858
  1024.550,     4.249077
  1024.600,     4.240459
  1024.650,     4.231095
  1024.700,     4.219913
  1024.750,     4.209047
  1024.800,     4.198324
  1024.850,     4.183894
  1024.900,     4.163909
  1024.950,     4.149839
  1025.000,     4.132108
  1025.050,     4.111786
  1025.100,     4.096189
  1025.150,     4.079012
  1025.200,     4.066347
  1025.250,     4.058500
  1025.300,     4.054504
  1025.350,     4.052274
  1025.400,     4.054355
  1025.450,     4.058034
  1025.500,     4.061294
  1025.550,     4.065801
  1025.600,     4.070483
  1025.650,     4.072006
  1025.700,     4.067355
  1025.750,     4.064088
  1025.800,     4.052550
  1025.850,     4.035681
  1025.900,     4.015389
  1025.950,     3.991079
  1026.000,     3.967523
  1026.050,     3.937100
  1026.100,     3.905198
  1026.150,     3.867520
  1026.200,     3.828444
  1026.250,     3.786758
  1026.300,     3.740561
  1026.350,     3.694946
  1026.400,     3.647432
  1026.450,     3.600202
  1026.500,     3.558169
  1026.550,     3.516016
  1026.600,     3.477744
  1026.650,     3.441181
  1026.700,     3.410422
  1026.750,     3.378768
  1026.800,     3.354996
  1026.850,     3.334902
  1026.900,     3.320833
  1026.950,     3.310533
  1027.000,     3.308114
  1027.050,     3.311625
  1027.100,     3.319877
  1027.150,     3.336883
  1027.200,     3.354300
  1027.250,     3.377659
  1027.300,     3.406295
  1027.350,     3.437364
  1027.400,     3.471293
  1027.450,     3.507763
  1027.500,     3.543391
  1027.550,     3.578974
  1027.600,     3.611498
  1027.650,     3.645402
  1027.700,     3.676944
  1027.750,     3.702110
  1027.800,     3.724365
  1027.850,     3.743205
  1027.900,     3.757726
  1027.950,     3.768055
  1028.000,     3.774236
  1028.050,     3.772749
  1028.100,     3.767753
  1028.150,     3.765787
  1028.200,     3.754275
  1028.250,     3.740300
  1028.300,     3.731370
  1028.350,     3.717682
  1028.400,     3.705720
  1028.450,     3.692262
  1028.500,     3.678156
  1028.550,     3.667340
  1028.600,     3.655300
  1028.650,     3.643115
  1028.700,     3.635352
  1028.750,     3.624129
  1028.800,     3.614987
  1028.850,     3.603052
  1028.900,     3.593124
  1028.950,     3.581248
  1029.000,     3.566466
  1029.050,     3.551278
  1029.100,     3.532245
  1029.150,     3.511704
  1029.200,     3.490089
  1029.250,     3.468703
  1029.300,     3.442656
  1029.350,     3.420067
  1029.400,     3.396587
  1029.450,     3.373714
  1029.500,     3.346413
  1029.550,     3.314477
  1029.600,     3.286304
  1029.650,     3.255103
  1029.700,     3.222715
  1029.750,     3.191772
  1029.800,     3.159491
  1029.850,     3.128691
  1029.900,     3.102049
  1029.950,     3.079059
  1030.000,     3.062133
  1030.050,     3.052526
  1030.100,     3.055043
  1030.150,     3.063757
  1030.200,     3.078399
  1030.250,     3.107488
  1030.300,     3.138774
  1030.350,     3.180889
  1030.400,     3.227430
  1030.450,     3.276453
  1030.500,     3.335110
  1030.550,     3.396981
  1030.600,     3.457116
  1030.650,     3.522297
  1030.700,     3.587569
  1030.750,     3.654208
  1030.800,     3.720234
  1030.850,     3.783268
  1030.900,     3.847647
  1030.950,     3.909283
  1031.000,     3.965827
  1031.050,     4.015976
  1031.100,     4.065549
  1031.150,     4.104373
  1031.200,     4.134883
  1031.250,     4.158651
  1031.300,     4.173995
  1031.350,     4.179891
  1031.400,     4.178640
  1031.450,     4.168043
  1031.500,     4.149144
  1031.550,     4.124186
  1031.600,     4.092594
  1031.650,     4.053869
  1031.700,     4.009385
  1031.750,     3.959713
  1031.800,     3.903397
  1031.850,     3.846042
  1031.900,     3.776424
  1031.950,     3.705975
  1032.000,     3.633540
  1032.050,     3.549580
  1032.100,     3.466068
  1032.150,     3.375836
  1032.200,     3.285128
  1032.250,     3.189870
  1032.300,     3.094836
  1032.350,     2.995698
  1032.400,     2.901271
  1032.450,     2.799911
  1032.500,     2.703772
