solution: [325. 650. 125.], best minimum: [324.27 650.38 126.32], log(fx)=0.0027778943052318913, p[1] estimate: 598.03
truth: [267. 635. 142.], found: [266.04 636.2  138.52], log(fx)=-7.871, p0: [250, 700, 150], success?: True
truth: [ 54. 691.  70.], found: [ 53.69 690.89  69.47], log(fx)=-8.512, p0: [50, 650, 100], success?: True
truth: [377. 498.  80.], found: [377.74 498.12  79.89], log(fx)=-7.784, p0: [350, 500, 100], success?: True
truth: [288. 472. 136.], found: [288.21 471.58 136.95], log(fx)=-10.296, p0: [350, 400, 150], success?: True
truth: [254. 420. 152.], found: [254.06 420.85 148.86], log(fx)=-6.998, p0: [200, 500, 150], success?: True
truth: [151. 543. 251.], found: [150.75 543.34 250.7 ], log(fx)=-9.909, p0: [150, 550, 250], success?: True
truth: [110. 632. 125.], found: [109.72 632.16 125.43], log(fx)=-8.942, p0: [100, 800, 150], success?: True
truth: [182. 556. 218.], found: [181.38 556.76 217.34], log(fx)=-8.436, p0: [250, 500, 250], success?: True
truth: [212. 633. 446.], found: [211.07 633.72 444.82], log(fx)=-7.314, p0: [200, 650, 450], success?: True
truth: [103. 602. 373.], found: [102.88 602.06 373.06], log(fx)=-10.226, p0: [100, 600, 450], success?: True
truth: [435. 717. 121.], found: [435.78 717.27 119.86], log(fx)=-6.699, p0: [400, 750, 150], success?: True
truth: [ 84. 729. 154.], found: [ 84.27 729.05 154.14], log(fx)=-8.55, p0: [100, 500, 250], success?: True
truth: [421. 786. 125.], found: [422.11 786.08 122.31], log(fx)=-6.428, p0: [400, 800, 150], success?: True
truth: [435. 659. 145.], found: [434.68 658.91 146.08], log(fx)=-8.337, p0: [450, 650, 150], success?: True
truth: [370. 706. 134.], found: [369.51 706.3  133.43], log(fx)=-8.268, p0: [350, 650, 150], success?: True
truth: [ 88. 678. 225.], found: [ 88.36 678.18 225.08], log(fx)=-7.79, p0: [100, 800, 300], success?: True
truth: [281. 686. 190.], found: [279.49 686.03 190.18], log(fx)=-6.461, p0: [350, 700, 200], success?: True
truth: [173. 427. 217.], found: [175.27 425.97 213.26], log(fx)=-7.029, p0: [250, 400, 250], success?: True
truth: [142. 522. 211.], found: [141.45 522.51 210.71], log(fx)=-7.138, p0: [200, 500, 250], success?: True
truth: [425. 472. 127.], found: [425.06 472.18 126.12], log(fx)=-8.897, p0: [400, 500, 150], success?: True
truth: [232. 766.  93.], found: [231.84 766.43  92.62], log(fx)=-8.728, p0: [250, 800, 100], success?: True
truth: [205. 431. 209.], found: [206.03 430.92 208.23], log(fx)=-8.148, p0: [250, 550, 200], success?: True
truth: [400. 532. 312.], found: [399.53 532.09 312.7 ], log(fx)=-7.796, p0: [350, 750, 300], success?: True
truth: [425. 469. 294.], found: [425.28 468.77 293.27], log(fx)=-9.689, p0: [450, 450, 300], success?: True
truth: [ 75. 449. 216.], found: [ 74.42 448.78 216.54], log(fx)=-7.786, p0: [100, 550, 200], success?: True
truth: [109. 754. 286.], found: [109.4  753.57 285.59], log(fx)=-8.147, p0: [150, 650, 300], success?: True
truth: [323. 440. 407.], found: [323.16 440.13 406.71], log(fx)=-8.817, p0: [300, 500, 450], success?: True
truth: [196. 739. 332.], found: [195.34 739.77 332.21], log(fx)=-7.831, p0: [250, 650, 400], success?: True
truth: [ 50. 642.  58.], found: [ 50.   642.22  58.43], log(fx)=-8.897, p0: [50, 650, 100], success?: True
truth: [215. 419. 446.], found: [213.77 420.14 447.27], log(fx)=-5.72, p0: [350, 550, 400], success?: True
truth: [ 68. 456. 150.], found: [ 68.45 455.61 149.49], log(fx)=-7.883, p0: [100, 400, 150], success?: True
truth: [181. 697. 126.], found: [181.37 696.87 126.31], log(fx)=-8.3, p0: [200, 700, 150], success?: True
truth: [390. 591. 446.], found: [389.05 591.5  447.32], log(fx)=-7.589, p0: [450, 600, 450], success?: True
truth: [188. 614. 138.], found: [188.47 614.06 136.98], log(fx)=-7.828, p0: [250, 600, 150], success?: True
truth: [308. 656. 368.], found: [307.32 656.43 367.97], log(fx)=-7.187, p0: [450, 600, 300], success?: True
truth: [277. 536. 444.], found: [275.71 536.59 441.24], log(fx)=-5.356, p0: [300, 650, 450], success?: True
